url|category|language|publisher|baseurl
http://newsfeed.zeit.de/entdecken/index|Sonstiges|DE|Zeit|http://www.zeit.de/
http://newsfeed.zeit.de/mobilitaet/index|Sonstiges|DE|Zeit|http://www.zeit.de/
https://web.de/magazine/nachrichten/index.rss|Nachrichten|DE|WEB.de|https://web.de/
https://web.de/magazine/lifestyle/index.rss|Sonstiges|DE|WEB.de|https://web.de/
https://web.de/magazine/unterhaltung/index.rss|Unterhaltung|DE|WEB.de|https://web.de/
https://web.de/magazine/auto/index.rss|Technik|DE|WEB.de|https://web.de/
https://web.de/magazine/wissen/index.rss|Wissen|DE|WEB.de|https://web.de/
https://web.de/magazine/digitale-welt/index.rss|Digital|DE|WEB.de|https://web.de/
https://web.de/magazine/gesundheit/index.rss|Sonstiges|DE|WEB.de|https://web.de/
http://www.rp-online.de/feed.rss|Nachrichten|DE|RP Online|http://www.rp-online.de/
http://www.rp-online.de/politik/feed.rss|Politik|DE|RP Online|http://www.rp-online.de/
http://www.rp-online.de/wirtschaft/feed.rss|Wirtschaft|DE|RP Online|http://www.rp-online.de/
http://www.rp-online.de/panorama/feed.rss|Sonstiges|DE|RP Online|http://www.rp-online.de/
http://www.rp-online.de/kultur/feed.rss|Unterhaltung|DE|RP Online|http://www.rp-online.de/
http://www.rp-online.de/panorama/feed.rss|Gesellschaft|DE|RP Online|http://www.rp-online.de/
http://www.rp-online.de/panorama/wissen/feed.rss|Wissen|DE|RP Online|http://www.rp-online.de/
http://www.rp-online.de/digitales/feed.rss|Digital|DE|RP Online|http://www.rp-online.de/
http://www.rp-online.de/leben/auto/feed.rss|Technik|DE|RP Online|http://www.rp-online.de/
http://www.chip.de/rss/rss_topnews.xml|Digital|DE|CHIP|http://www.chip.de/
http://www.chip.de/rss/rss_technik.xml|Digital|DE|CHIP|http://www.chip.de/
http://rss.focus.de/fol/XML/rss_folnews_eilmeldungen.xml|Eilmeldungen|DE|Focus|http://www.focus.de/
http://rss.focus.de/politik/|Politik|DE|Focus|http://www.focus.de/
http://rss.focus.de/kultur/vermischtes/|Unterhaltung|DE|Focus|http://www.focus.de/
http://rss.focus.de/panorama/|Sonstiges|DE|Focus|http://www.focus.de/
http://rss.focus.de/digital/|Digital|DE|Focus|http://www.focus.de/
